UtilityKey,Company,UltimatePa,TotalRetai,TotalRet01,TotalRet02,AvgRevPerU,AvgUltCust,AvgResiden,AvgCommeri,AvgIndustr,UtilitySta,layer,path
4062790,San Saba City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058933,"City of Burnet, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061003,"City of Lampasas, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059321,Coleman City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060256,Goldthwaite City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061074,Lexington City of TX,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058633,Bartlett City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060206,Georgetown City of TX,,86900,30999,715040,2803.32,12.15,13.75,12.49,8.62,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058965,Caldwell City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058906,"City of Bryan, Texas",,148847,63337,1532254,2350.08,9.71,10.66,9.11,7.51,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060464,Hearne City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060479,Hempstead City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061082,"City of Liberty, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4063754,Vinton Town of LA,,0,0,0,0,0,0,0,0,LA,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
